PlotNum,Xutm,Yutm,Xpix,Ypix,Crop,LAI,Cab,Vcmax25_time,Vcmax25,NPQ1_time,NPQ1,NPQ2_time,NPQ2,ceptometer_time,PARin,PARbottom,PARrefl_top,PARrefl_soil,aPAR,faPAR
1,262731.5,4426243.5,10,18,Wheat,5.82648150011672,44.0934133083022,01-Jul-2019 07:05:00,39.4733923817636,01-Jul-2019 09:13:30,0.962644249894425,01-Jul-2019 11:12:22,1.28987440743265,01-Jul-2019 13:19:23,2250.2128516279,8.18440622724008,64.8699233714588,18.4275433309147,2195.58606536012,0.97572372487862
2,262731.5,4426210.5,10,51,Wheat,5.75465265527027,40.5539336011458,01-Jul-2019 10:25:11,19.4447808128196,01-Jul-2019 08:55:40,1.3122763334108,01-Jul-2019 10:54:32,1.60989637328268,01-Jul-2019 13:09:23,2220.42970511295,11.1362036535388,67.6102250283618,21.6039495808077,2163.28722601186,0.97426512581348
3,262731.5,4426178.5,10,83,Wheat,4.94523778246985,36.3058297683239,02-Jul-2019 07:05:42,18.4556694508762,01-Jul-2019 10:07:51,1.67239367362988,01-Jul-2019 12:06:42,1.85907616546295,01-Jul-2019 12:43:21,2269.02682827948,17.7117581004044,71.9970406826237,31.3274450253696,2210.64547452182,0.974270311381939
4,262747.5,4426243.5,26,18,Wheat,5.81577409545959,44.1340000337924,01-Jul-2019 07:45:11,36.2643449459446,01-Jul-2019 09:01:34,0.814022254877789,01-Jul-2019 11:00:26,1.02405143558612,01-Jul-2019 12:59:07,2229.47649738899,8.54907787255341,66.0093883078549,17.6783304007697,2172.59636160935,0.97448722341489
5,262747.5,4426210.5,26,51,Wheat,5.73428976544022,39.7229561150227,01-Jul-2019 09:45:10,17.881414543041,01-Jul-2019 10:25:42,1.28059016369657,01-Jul-2019 12:24:34,1.3812746410236,01-Jul-2019 14:08:44,2128.6793230028,10.1628408479134,67.3300062611494,17.2053258366028,2068.39180173034,0.971678439010994
6,262747.5,4426178.5,26,83,Wheat,5.14085087769308,34.4746089973532,02-Jul-2019 07:45:11,16.7529768087705,01-Jul-2019 09:44:00,1.43630110824364,01-Jul-2019 11:42:51,1.45895054458562,01-Jul-2019 14:04:03,2156.37834084431,17.0368037809885,74.8080790881582,23.4914935560159,2088.02495153118,0.968301764111409
7,262762.5,4426243.5,41,18,Wheat,5.84877172087397,44.775861579807,01-Jul-2019 08:25:10,44.5765580655443,01-Jul-2019 09:07:19,0.675715972306856,01-Jul-2019 11:06:10,0.802747534069529,01-Jul-2019 13:34:08,2201.23409071382,8.03226671525959,63.1116555946722,16.2161786657691,2146.30634706966,0.975046841280588
8,262762.5,4426210.5,41,51,Wheat,5.6642365040124,40.4023442938776,01-Jul-2019 09:05:23,19.7715934576945,01-Jul-2019 09:25:35,1.00517401560711,01-Jul-2019 11:24:26,1.0268782996257,01-Jul-2019 13:43:35,2199.17132229703,10.2163525756592,67.2510381153117,18.2534317888495,2139.95736339491,0.973074422032626
9,262762.5,4426178.5,41,83,Wheat,5.03111714966168,36.1277025854174,02-Jul-2019 08:25:10,18.9338459806014,01-Jul-2019 08:49:08,1.06620415331359,01-Jul-2019 10:48:00,1.10157497194377,01-Jul-2019 13:28:45,2199.30697514869,17.64491081554,74.3126860213142,26.6573160073236,2134.00669431916,0.970308701073839
10,262781.5,4426243.5,60,18,Maize,6.08250825923745,56.5607537024611,01-Jul-2019 07:05:43,33.6077713137774,01-Jul-2019 10:19:34,0.440483728786655,01-Jul-2019 12:18:26,0.724257959121516,01-Jul-2019 13:54:08,2201.73476359275,5.22103944213426,53.5477863903025,11.6331930326226,2154.59913079294,0.978591593511065
