Wavelength;01-Jul-2019 06:15:00;01-Jul-2019 06:45:00;01-Jul-2019 07:15:00;01-Jul-2019 07:45:00;01-Jul-2019 08:15:00;01-Jul-2019 08:45:00;01-Jul-2019 09:15:00;01-Jul-2019 09:45:00;01-Jul-2019 10:15:00;01-Jul-2019 10:45:00;01-Jul-2019 11:15:00;01-Jul-2019 11:45:00;01-Jul-2019 12:15:00;01-Jul-2019 12:45:00;01-Jul-2019 13:15:00;01-Jul-2019 13:45:00;01-Jul-2019 14:15:00;01-Jul-2019 14:45:00;01-Jul-2019 15:15:00;01-Jul-2019 15:45:00;01-Jul-2019 16:15:00;01-Jul-2019 16:45:00;01-Jul-2019 16:45:00
400.323;98.4109589;235.2168048;389.5654718;538.6316117;679.9338385;811.1921480;933.2985460;1058.8074140;1200.3425348;1308.9653092;1387.0078760;1423.1832571;1475.9111508;1488.9664513;1489.9329501;1465.3764414;1418.3849484;1361.2647797;1297.9588404;1189.7911583;1062.2427721;936.6364852;789.4438217
400.978;99.0571821;235.6329685;387.8247781;534.2405329;682.7208771;812.9781148;933.4699174;1064.2477427;1196.6970871;1305.4706643;1374.3190629;1431.2386588;1484.7176829;1488.9145326;1491.6323295;1473.3902058;1421.3401482;1373.4999420;1290.4501921;1189.7889753;1061.0265525;931.0383671;788.0452386
401.634;99.0361527;237.1427144;388.1219934;536.0258215;683.6888358;804.5751825;927.0322122;1068.5186700;1192.9888628;1302.5682675;1371.8391020;1432.6908743;1474.8913885;1502.3180579;1484.5231552;1472.5780871;1424.0552753;1373.0322190;1295.8085130;1187.3141663;1069.0768421;939.3823165;788.3109089
402.290;98.4620970;236.5899557;388.1326744;535.3228435;680.2208084;804.7621454;940.3089223;1060.4393647;1193.3157319;1306.9808745;1387.0551520;1444.9963362;1468.7687023;1499.5665916;1482.5640701;1458.3119199;1417.6611573;1369.1095241;1284.8578181;1189.3311532;1067.3321496;935.2387275;784.3179895
402.945;99.4147483;237.5632256;386.7544052;534.6600987;679.7509560;805.4259079;930.2099778;1058.8650686;1193.6793802;1299.2077829;1384.4679960;1424.1029386;1479.4434812;1487.7965803;1481.7804665;1465.7934941;1418.4955314;1364.2513590;1289.6836295;1191.0165008;1056.8196340;933.6389691;783.7565519
403.601;98.1840675;234.2426670;384.8229263;534.2271418;672.4437920;803.0170836;932.9857336;1057.3466801;1179.4402066;1289.5007736;1366.2396327;1417.4913264;1464.5155780;1489.3854460;1480.7433885;1461.5182765;1415.4304641;1362.9952697;1284.7793517;1173.5535565;1062.3661700;926.6726120;780.7364805
404.256;97.7707669;232.4040598;380.0635381;525.0788779;667.0693117;797.3089802;918.5830685;1047.2937164;1180.5244581;1278.2189534;1360.5670863;1411.2091179;1446.1332360;1478.0081163;1461.9748178;1444.4546093;1397.4960418;1346.7606437;1264.0635912;1163.5699590;1042.8292668;921.7226117;779.6733361
404.912;96.2922082;231.0225073;378.7257988;521.7557339;661.4500083;787.9874685;910.1501782;1040.2489713;1161.9363969;1275.4896372;1350.5395712;1391.1427482;1439.1290107;1452.0745640;1439.2722928;1421.0959183;1381.8172593;1335.1306403;1254.5575532;1155.4386777;1041.3776926;897.9329929;768.2215501
405.568;95.3635373;227.1097562;372.4610834;513.5699606;653.4885722;783.4109206;900.2805610;1025.8152700;1157.9686504;1260.9786863;1330.2132768;1378.4966766;1427.7643780;1438.6193418;1444.6897112;1417.8670510;1366.6760173;1332.6988818;1252.9296038;1143.6680083;1023.1135869;895.8978971;760.5198456
406.223;95.2287771;228.1729010;370.7533712;515.4314839;654.1409720;774.7489688;892.4230298;1016.0391268;1147.4098818;1252.5464147;1332.2152409;1374.9644955;1418.5961812;1441.5379819;1426.5801272;1403.2835223;1363.0575714;1328.4722347;1243.6659913;1141.6680167;1024.1160334;894.1714595;754.0987642
